review,date,source,review_id,sentences,sentence_id,sentence,sent_len,sentiment_new,themes,themes_bow,variable,themes_relation_extraction,themes_keyword,theme_len,relation_word,emotion_keyword,theme_groups,emotion_groups
"The French Do It Better.  had a gift for melodic composition.  Indeed after had heard one of Delibes' ballets he is said to have remarked that ""if I had known that this music existed I would not have written Lake"".  Obviously vocal compositions were created in the French language and for the French voice.  Some of his most beautiful melodic writing for the voice is evident in Lakme.  Arguably Mady Mesple was THE French coloratura of the middle Twentieth Century.  She had a beautiful voice; sweet and pleasing to the listener.  In this Opera set in India the five principle singers are French and sing the original French composition.  The vocal sound is just more pleasing sung by the native French in their own language. ","Reviewed in the United States on November 22, 2014",Amazon,1,"['The French Do It Better.', 'had a gift for melodic composition.', 'Indeed after had heard one of Delibes\' ballets he is said to have remarked that ""if I had known that this music existed I would not have written Lake"".', 'Obviously vocal compositions were created in the French language and for the French voice.', 'Some of his most beautiful melodic writing for the voice is evident in Lakme.', 'Arguably Mady Mesple was THE French coloratura of the middle Twentieth Century.', 'She had a beautiful voice; sweet and pleasing to the listener.', 'In this Opera set in India the five principle singers are French and sing the original French composition.', 'The vocal sound is just more pleasing sung by the native French in their own language.']",0,french better,24,Positive,['french'],french,0,french,french,6,better,better,,delighted
"The French Do It Better.  had a gift for melodic composition.  Indeed after had heard one of Delibes' ballets he is said to have remarked that ""if I had known that this music existed I would not have written Lake"".  Obviously vocal compositions were created in the French language and for the French voice.  Some of his most beautiful melodic writing for the voice is evident in Lakme.  Arguably Mady Mesple was THE French coloratura of the middle Twentieth Century.  She had a beautiful voice; sweet and pleasing to the listener.  In this Opera set in India the five principle singers are French and sing the original French composition.  The vocal sound is just more pleasing sung by the native French in their own language. ","Reviewed in the United States on November 22, 2014",Amazon,1,"['The French Do It Better.', 'had a gift for melodic composition.', 'Indeed after had heard one of Delibes\' ballets he is said to have remarked that ""if I had known that this music existed I would not have written Lake"".', 'Obviously vocal compositions were created in the French language and for the French voice.', 'Some of his most beautiful melodic writing for the voice is evident in Lakme.', 'Arguably Mady Mesple was THE French coloratura of the middle Twentieth Century.', 'She had a beautiful voice; sweet and pleasing to the listener.', 'In this Opera set in India the five principle singers are French and sing the original French composition.', 'The vocal sound is just more pleasing sung by the native French in their own language.']",1,gift composition,35,Positive,"['composition', 'gift']",composition|gift,0,composition,composition,11,,,,
"The French Do It Better.  had a gift for melodic composition.  Indeed after had heard one of Delibes' ballets he is said to have remarked that ""if I had known that this music existed I would not have written Lake"".  Obviously vocal compositions were created in the French language and for the French voice.  Some of his most beautiful melodic writing for the voice is evident in Lakme.  Arguably Mady Mesple was THE French coloratura of the middle Twentieth Century.  She had a beautiful voice; sweet and pleasing to the listener.  In this Opera set in India the five principle singers are French and sing the original French composition.  The vocal sound is just more pleasing sung by the native French in their own language. ","Reviewed in the United States on November 22, 2014",Amazon,1,"['The French Do It Better.', 'had a gift for melodic composition.', 'Indeed after had heard one of Delibes\' ballets he is said to have remarked that ""if I had known that this music existed I would not have written Lake"".', 'Obviously vocal compositions were created in the French language and for the French voice.', 'Some of his most beautiful melodic writing for the voice is evident in Lakme.', 'Arguably Mady Mesple was THE French coloratura of the middle Twentieth Century.', 'She had a beautiful voice; sweet and pleasing to the listener.', 'In this Opera set in India the five principle singers are French and sing the original French composition.', 'The vocal sound is just more pleasing sung by the native French in their own language.']",1,gift composition,35,Positive,"['composition', 'gift']",composition|gift,1,gift,gift,4,,,Setting,
"The French Do It Better.  had a gift for melodic composition.  Indeed after had heard one of Delibes' ballets he is said to have remarked that ""if I had known that this music existed I would not have written Lake"".  Obviously vocal compositions were created in the French language and for the French voice.  Some of his most beautiful melodic writing for the voice is evident in Lakme.  Arguably Mady Mesple was THE French coloratura of the middle Twentieth Century.  She had a beautiful voice; sweet and pleasing to the listener.  In this Opera set in India the five principle singers are French and sing the original French composition.  The vocal sound is just more pleasing sung by the native French in their own language. ","Reviewed in the United States on November 22, 2014",Amazon,1,"['The French Do It Better.', 'had a gift for melodic composition.', 'Indeed after had heard one of Delibes\' ballets he is said to have remarked that ""if I had known that this music existed I would not have written Lake"".', 'Obviously vocal compositions were created in the French language and for the French voice.', 'Some of his most beautiful melodic writing for the voice is evident in Lakme.', 'Arguably Mady Mesple was THE French coloratura of the middle Twentieth Century.', 'She had a beautiful voice; sweet and pleasing to the listener.', 'In this Opera set in India the five principle singers are French and sing the original French composition.', 'The vocal sound is just more pleasing sung by the native French in their own language.']",2,indeed heard one ballets said remarked known music existed would written lake,151,Neutral,"['ballets', 'music']",ballets|music,0,ballets,ballet,6,said,said,,neutral
"The French Do It Better.  had a gift for melodic composition.  Indeed after had heard one of Delibes' ballets he is said to have remarked that ""if I had known that this music existed I would not have written Lake"".  Obviously vocal compositions were created in the French language and for the French voice.  Some of his most beautiful melodic writing for the voice is evident in Lakme.  Arguably Mady Mesple was THE French coloratura of the middle Twentieth Century.  She had a beautiful voice; sweet and pleasing to the listener.  In this Opera set in India the five principle singers are French and sing the original French composition.  The vocal sound is just more pleasing sung by the native French in their own language. ","Reviewed in the United States on November 22, 2014",Amazon,1,"['The French Do It Better.', 'had a gift for melodic composition.', 'Indeed after had heard one of Delibes\' ballets he is said to have remarked that ""if I had known that this music existed I would not have written Lake"".', 'Obviously vocal compositions were created in the French language and for the French voice.', 'Some of his most beautiful melodic writing for the voice is evident in Lakme.', 'Arguably Mady Mesple was THE French coloratura of the middle Twentieth Century.', 'She had a beautiful voice; sweet and pleasing to the listener.', 'In this Opera set in India the five principle singers are French and sing the original French composition.', 'The vocal sound is just more pleasing sung by the native French in their own language.']",2,indeed heard one ballets said remarked known music existed would written lake,151,Neutral,"['ballets', 'music']",ballets|music,1,music,music,5,existed,existed,,neutral
"The French Do It Better.  had a gift for melodic composition.  Indeed after had heard one of Delibes' ballets he is said to have remarked that ""if I had known that this music existed I would not have written Lake"".  Obviously vocal compositions were created in the French language and for the French voice.  Some of his most beautiful melodic writing for the voice is evident in Lakme.  Arguably Mady Mesple was THE French coloratura of the middle Twentieth Century.  She had a beautiful voice; sweet and pleasing to the listener.  In this Opera set in India the five principle singers are French and sing the original French composition.  The vocal sound is just more pleasing sung by the native French in their own language. ","Reviewed in the United States on November 22, 2014",Amazon,1,"['The French Do It Better.', 'had a gift for melodic composition.', 'Indeed after had heard one of Delibes\' ballets he is said to have remarked that ""if I had known that this music existed I would not have written Lake"".', 'Obviously vocal compositions were created in the French language and for the French voice.', 'Some of his most beautiful melodic writing for the voice is evident in Lakme.', 'Arguably Mady Mesple was THE French coloratura of the middle Twentieth Century.', 'She had a beautiful voice; sweet and pleasing to the listener.', 'In this Opera set in India the five principle singers are French and sing the original French composition.', 'The vocal sound is just more pleasing sung by the native French in their own language.']",3,obviously vocal compositions created french language french voice,90,Positive,"['compositions', 'language', 'voice']",compositions|language|voice,0,compositions,composition,11,vocal,vocal,,
"The French Do It Better.  had a gift for melodic composition.  Indeed after had heard one of Delibes' ballets he is said to have remarked that ""if I had known that this music existed I would not have written Lake"".  Obviously vocal compositions were created in the French language and for the French voice.  Some of his most beautiful melodic writing for the voice is evident in Lakme.  Arguably Mady Mesple was THE French coloratura of the middle Twentieth Century.  She had a beautiful voice; sweet and pleasing to the listener.  In this Opera set in India the five principle singers are French and sing the original French composition.  The vocal sound is just more pleasing sung by the native French in their own language. ","Reviewed in the United States on November 22, 2014",Amazon,1,"['The French Do It Better.', 'had a gift for melodic composition.', 'Indeed after had heard one of Delibes\' ballets he is said to have remarked that ""if I had known that this music existed I would not have written Lake"".', 'Obviously vocal compositions were created in the French language and for the French voice.', 'Some of his most beautiful melodic writing for the voice is evident in Lakme.', 'Arguably Mady Mesple was THE French coloratura of the middle Twentieth Century.', 'She had a beautiful voice; sweet and pleasing to the listener.', 'In this Opera set in India the five principle singers are French and sing the original French composition.', 'The vocal sound is just more pleasing sung by the native French in their own language.']",3,obviously vocal compositions created french language french voice,90,Positive,"['compositions', 'language', 'voice']",compositions|language|voice,1,language,language,8,,,,
"The French Do It Better.  had a gift for melodic composition.  Indeed after had heard one of Delibes' ballets he is said to have remarked that ""if I had known that this music existed I would not have written Lake"".  Obviously vocal compositions were created in the French language and for the French voice.  Some of his most beautiful melodic writing for the voice is evident in Lakme.  Arguably Mady Mesple was THE French coloratura of the middle Twentieth Century.  She had a beautiful voice; sweet and pleasing to the listener.  In this Opera set in India the five principle singers are French and sing the original French composition.  The vocal sound is just more pleasing sung by the native French in their own language. ","Reviewed in the United States on November 22, 2014",Amazon,1,"['The French Do It Better.', 'had a gift for melodic composition.', 'Indeed after had heard one of Delibes\' ballets he is said to have remarked that ""if I had known that this music existed I would not have written Lake"".', 'Obviously vocal compositions were created in the French language and for the French voice.', 'Some of his most beautiful melodic writing for the voice is evident in Lakme.', 'Arguably Mady Mesple was THE French coloratura of the middle Twentieth Century.', 'She had a beautiful voice; sweet and pleasing to the listener.', 'In this Opera set in India the five principle singers are French and sing the original French composition.', 'The vocal sound is just more pleasing sung by the native French in their own language.']",3,obviously vocal compositions created french language french voice,90,Positive,"['compositions', 'language', 'voice']",compositions|language|voice,2,voice,voice,5,created,created,,neutral
"The French Do It Better.  had a gift for melodic composition.  Indeed after had heard one of Delibes' ballets he is said to have remarked that ""if I had known that this music existed I would not have written Lake"".  Obviously vocal compositions were created in the French language and for the French voice.  Some of his most beautiful melodic writing for the voice is evident in Lakme.  Arguably Mady Mesple was THE French coloratura of the middle Twentieth Century.  She had a beautiful voice; sweet and pleasing to the listener.  In this Opera set in India the five principle singers are French and sing the original French composition.  The vocal sound is just more pleasing sung by the native French in their own language. ","Reviewed in the United States on November 22, 2014",Amazon,1,"['The French Do It Better.', 'had a gift for melodic composition.', 'Indeed after had heard one of Delibes\' ballets he is said to have remarked that ""if I had known that this music existed I would not have written Lake"".', 'Obviously vocal compositions were created in the French language and for the French voice.', 'Some of his most beautiful melodic writing for the voice is evident in Lakme.', 'Arguably Mady Mesple was THE French coloratura of the middle Twentieth Century.', 'She had a beautiful voice; sweet and pleasing to the listener.', 'In this Opera set in India the five principle singers are French and sing the original French composition.', 'The vocal sound is just more pleasing sung by the native French in their own language.']",4,beautiful melodic writing voice evident lakme,77,Positive,"['voice', 'writing']",voice|writing,0,voice,voice,5,beautiful,beautiful,,delighted
"The French Do It Better.  had a gift for melodic composition.  Indeed after had heard one of Delibes' ballets he is said to have remarked that ""if I had known that this music existed I would not have written Lake"".  Obviously vocal compositions were created in the French language and for the French voice.  Some of his most beautiful melodic writing for the voice is evident in Lakme.  Arguably Mady Mesple was THE French coloratura of the middle Twentieth Century.  She had a beautiful voice; sweet and pleasing to the listener.  In this Opera set in India the five principle singers are French and sing the original French composition.  The vocal sound is just more pleasing sung by the native French in their own language. ","Reviewed in the United States on November 22, 2014",Amazon,1,"['The French Do It Better.', 'had a gift for melodic composition.', 'Indeed after had heard one of Delibes\' ballets he is said to have remarked that ""if I had known that this music existed I would not have written Lake"".', 'Obviously vocal compositions were created in the French language and for the French voice.', 'Some of his most beautiful melodic writing for the voice is evident in Lakme.', 'Arguably Mady Mesple was THE French coloratura of the middle Twentieth Century.', 'She had a beautiful voice; sweet and pleasing to the listener.', 'In this Opera set in India the five principle singers are French and sing the original French composition.', 'The vocal sound is just more pleasing sung by the native French in their own language.']",4,beautiful melodic writing voice evident lakme,77,Positive,"['voice', 'writing']",voice|writing,1,writing,write,5,,,,
"The French Do It Better.  had a gift for melodic composition.  Indeed after had heard one of Delibes' ballets he is said to have remarked that ""if I had known that this music existed I would not have written Lake"".  Obviously vocal compositions were created in the French language and for the French voice.  Some of his most beautiful melodic writing for the voice is evident in Lakme.  Arguably Mady Mesple was THE French coloratura of the middle Twentieth Century.  She had a beautiful voice; sweet and pleasing to the listener.  In this Opera set in India the five principle singers are French and sing the original French composition.  The vocal sound is just more pleasing sung by the native French in their own language. ","Reviewed in the United States on November 22, 2014",Amazon,1,"['The French Do It Better.', 'had a gift for melodic composition.', 'Indeed after had heard one of Delibes\' ballets he is said to have remarked that ""if I had known that this music existed I would not have written Lake"".', 'Obviously vocal compositions were created in the French language and for the French voice.', 'Some of his most beautiful melodic writing for the voice is evident in Lakme.', 'Arguably Mady Mesple was THE French coloratura of the middle Twentieth Century.', 'She had a beautiful voice; sweet and pleasing to the listener.', 'In this Opera set in India the five principle singers are French and sing the original French composition.', 'The vocal sound is just more pleasing sung by the native French in their own language.']",5,arguably mady mesple french coloratura middle century,79,Negative,['century'],century,0,century,century,7,mesple,mesple,Consumer,
"The French Do It Better.  had a gift for melodic composition.  Indeed after had heard one of Delibes' ballets he is said to have remarked that ""if I had known that this music existed I would not have written Lake"".  Obviously vocal compositions were created in the French language and for the French voice.  Some of his most beautiful melodic writing for the voice is evident in Lakme.  Arguably Mady Mesple was THE French coloratura of the middle Twentieth Century.  She had a beautiful voice; sweet and pleasing to the listener.  In this Opera set in India the five principle singers are French and sing the original French composition.  The vocal sound is just more pleasing sung by the native French in their own language. ","Reviewed in the United States on November 22, 2014",Amazon,1,"['The French Do It Better.', 'had a gift for melodic composition.', 'Indeed after had heard one of Delibes\' ballets he is said to have remarked that ""if I had known that this music existed I would not have written Lake"".', 'Obviously vocal compositions were created in the French language and for the French voice.', 'Some of his most beautiful melodic writing for the voice is evident in Lakme.', 'Arguably Mady Mesple was THE French coloratura of the middle Twentieth Century.', 'She had a beautiful voice; sweet and pleasing to the listener.', 'In this Opera set in India the five principle singers are French and sing the original French composition.', 'The vocal sound is just more pleasing sung by the native French in their own language.']",6,beautiful voice sweet pleasing listener,62,Positive,"['listener', 'voice']",listener|voice,0,listener,listener,8,beautiful,beautiful,,delighted
"The French Do It Better.  had a gift for melodic composition.  Indeed after had heard one of Delibes' ballets he is said to have remarked that ""if I had known that this music existed I would not have written Lake"".  Obviously vocal compositions were created in the French language and for the French voice.  Some of his most beautiful melodic writing for the voice is evident in Lakme.  Arguably Mady Mesple was THE French coloratura of the middle Twentieth Century.  She had a beautiful voice; sweet and pleasing to the listener.  In this Opera set in India the five principle singers are French and sing the original French composition.  The vocal sound is just more pleasing sung by the native French in their own language. ","Reviewed in the United States on November 22, 2014",Amazon,1,"['The French Do It Better.', 'had a gift for melodic composition.', 'Indeed after had heard one of Delibes\' ballets he is said to have remarked that ""if I had known that this music existed I would not have written Lake"".', 'Obviously vocal compositions were created in the French language and for the French voice.', 'Some of his most beautiful melodic writing for the voice is evident in Lakme.', 'Arguably Mady Mesple was THE French coloratura of the middle Twentieth Century.', 'She had a beautiful voice; sweet and pleasing to the listener.', 'In this Opera set in India the five principle singers are French and sing the original French composition.', 'The vocal sound is just more pleasing sung by the native French in their own language.']",6,beautiful voice sweet pleasing listener,62,Positive,"['listener', 'voice']",listener|voice,1,voice,voice,5,,,,
"The French Do It Better.  had a gift for melodic composition.  Indeed after had heard one of Delibes' ballets he is said to have remarked that ""if I had known that this music existed I would not have written Lake"".  Obviously vocal compositions were created in the French language and for the French voice.  Some of his most beautiful melodic writing for the voice is evident in Lakme.  Arguably Mady Mesple was THE French coloratura of the middle Twentieth Century.  She had a beautiful voice; sweet and pleasing to the listener.  In this Opera set in India the five principle singers are French and sing the original French composition.  The vocal sound is just more pleasing sung by the native French in their own language. ","Reviewed in the United States on November 22, 2014",Amazon,1,"['The French Do It Better.', 'had a gift for melodic composition.', 'Indeed after had heard one of Delibes\' ballets he is said to have remarked that ""if I had known that this music existed I would not have written Lake"".', 'Obviously vocal compositions were created in the French language and for the French voice.', 'Some of his most beautiful melodic writing for the voice is evident in Lakme.', 'Arguably Mady Mesple was THE French coloratura of the middle Twentieth Century.', 'She had a beautiful voice; sweet and pleasing to the listener.', 'In this Opera set in India the five principle singers are French and sing the original French composition.', 'The vocal sound is just more pleasing sung by the native French in their own language.']",7,opera set five principle singers french sing original french composition,106,Positive,"['composition', 'opera', 'principle', 'sing', 'singers']",composition|opera|principle|sing|singers,0,composition,composition,11,set,set,,
"The French Do It Better.  had a gift for melodic composition.  Indeed after had heard one of Delibes' ballets he is said to have remarked that ""if I had known that this music existed I would not have written Lake"".  Obviously vocal compositions were created in the French language and for the French voice.  Some of his most beautiful melodic writing for the voice is evident in Lakme.  Arguably Mady Mesple was THE French coloratura of the middle Twentieth Century.  She had a beautiful voice; sweet and pleasing to the listener.  In this Opera set in India the five principle singers are French and sing the original French composition.  The vocal sound is just more pleasing sung by the native French in their own language. ","Reviewed in the United States on November 22, 2014",Amazon,1,"['The French Do It Better.', 'had a gift for melodic composition.', 'Indeed after had heard one of Delibes\' ballets he is said to have remarked that ""if I had known that this music existed I would not have written Lake"".', 'Obviously vocal compositions were created in the French language and for the French voice.', 'Some of his most beautiful melodic writing for the voice is evident in Lakme.', 'Arguably Mady Mesple was THE French coloratura of the middle Twentieth Century.', 'She had a beautiful voice; sweet and pleasing to the listener.', 'In this Opera set in India the five principle singers are French and sing the original French composition.', 'The vocal sound is just more pleasing sung by the native French in their own language.']",7,opera set five principle singers french sing original french composition,106,Positive,"['composition', 'opera', 'principle', 'sing', 'singers']",composition|opera|principle|sing|singers,1,opera,opera,5,set,set,,
"The French Do It Better.  had a gift for melodic composition.  Indeed after had heard one of Delibes' ballets he is said to have remarked that ""if I had known that this music existed I would not have written Lake"".  Obviously vocal compositions were created in the French language and for the French voice.  Some of his most beautiful melodic writing for the voice is evident in Lakme.  Arguably Mady Mesple was THE French coloratura of the middle Twentieth Century.  She had a beautiful voice; sweet and pleasing to the listener.  In this Opera set in India the five principle singers are French and sing the original French composition.  The vocal sound is just more pleasing sung by the native French in their own language. ","Reviewed in the United States on November 22, 2014",Amazon,1,"['The French Do It Better.', 'had a gift for melodic composition.', 'Indeed after had heard one of Delibes\' ballets he is said to have remarked that ""if I had known that this music existed I would not have written Lake"".', 'Obviously vocal compositions were created in the French language and for the French voice.', 'Some of his most beautiful melodic writing for the voice is evident in Lakme.', 'Arguably Mady Mesple was THE French coloratura of the middle Twentieth Century.', 'She had a beautiful voice; sweet and pleasing to the listener.', 'In this Opera set in India the five principle singers are French and sing the original French composition.', 'The vocal sound is just more pleasing sung by the native French in their own language.']",7,opera set five principle singers french sing original french composition,106,Positive,"['composition', 'opera', 'principle', 'sing', 'singers']",composition|opera|principle|sing|singers,2,principle,principle,9,,,,
