review,date,source,review_id,sentences,sentence_id,sentence,sent_len,emoji_desc
Was enjoyed by all.  This was a gift for my parents.  To give them a break. ,"Reviewed in the United States on December 13, 2019",Amazon,1,"['Was enjoyed by all.', 'This was a gift for my parents.', 'To give them a break.']",0,"Was enjoyed by all., ",19,
Was enjoyed by all.  This was a gift for my parents.  To give them a break. ,"Reviewed in the United States on December 13, 2019",Amazon,1,"['Was enjoyed by all.', 'This was a gift for my parents.', 'To give them a break.']",1,"This was a gift for my parents., ",31,
Was enjoyed by all.  This was a gift for my parents.  To give them a break. ,"Reviewed in the United States on December 13, 2019",Amazon,1,"['Was enjoyed by all.', 'This was a gift for my parents.', 'To give them a break.']",2,"To give them a break., ",21,
Nothing special you could not find locally or elsewhere,"Reviewed in the United States on January 8, 2020",Amazon,2,['Nothing special you could not find locally or elsewhere'],0,"Nothing special you could not find locally or elsewhere, ",55,
Very Good.  This ham were very fresh and extremely good. ,"Reviewed in the United States on March 9, 2020",Amazon,3,"['Very Good.', 'This ham were very fresh and extremely good.']",0,"Very Good., ",10,
Very Good.  This ham were very fresh and extremely good. ,"Reviewed in the United States on March 9, 2020",Amazon,3,"['Very Good.', 'This ham were very fresh and extremely good.']",1,"This ham were very fresh and extremely good., ",44,
Great Quality.  The ham and turkey got from all my guests.  The turkey was moist and delicious.  The ham was great.  I would buy again.  Very well packaged with dry ice even though it was pre-cooked. ,"Reviewed in the United States on January 7, 2013",Amazon,4,"['Great Quality.', 'The ham and turkey got from all my guests.', 'The turkey was moist and delicious.', 'The ham was great.', 'I would buy again.', 'Very well packaged with dry ice even though it was pre-cooked.']",0,"Great Quality., ",14,
Great Quality.  The ham and turkey got from all my guests.  The turkey was moist and delicious.  The ham was great.  I would buy again.  Very well packaged with dry ice even though it was pre-cooked. ,"Reviewed in the United States on January 7, 2013",Amazon,4,"['Great Quality.', 'The ham and turkey got from all my guests.', 'The turkey was moist and delicious.', 'The ham was great.', 'I would buy again.', 'Very well packaged with dry ice even though it was pre-cooked.']",1,"The ham and turkey got from all my guests., ",42,
Great Quality.  The ham and turkey got from all my guests.  The turkey was moist and delicious.  The ham was great.  I would buy again.  Very well packaged with dry ice even though it was pre-cooked. ,"Reviewed in the United States on January 7, 2013",Amazon,4,"['Great Quality.', 'The ham and turkey got from all my guests.', 'The turkey was moist and delicious.', 'The ham was great.', 'I would buy again.', 'Very well packaged with dry ice even though it was pre-cooked.']",2,"The turkey was moist and delicious., ",35,
Great Quality.  The ham and turkey got from all my guests.  The turkey was moist and delicious.  The ham was great.  I would buy again.  Very well packaged with dry ice even though it was pre-cooked. ,"Reviewed in the United States on January 7, 2013",Amazon,4,"['Great Quality.', 'The ham and turkey got from all my guests.', 'The turkey was moist and delicious.', 'The ham was great.', 'I would buy again.', 'Very well packaged with dry ice even though it was pre-cooked.']",3,"The ham was great., ",18,
