review,date,source,review_id,sentences,sentence_id,sentence,sent_len,sentiment_new,themes,themes_bow,variable,themes_relation_extraction,themes_keyword,theme_len,relation_word,emotion_keyword,theme_groups,emotion_groups
Favorite candy bar.  This is the best white chocolate on the market. ,"Reviewed in the United States on October 1, 2019",Amazon,1,"['Favorite candy bar.', 'This is the best white chocolate on the market.']",0,favorite candy bar,19,Positive,"['bar', 'candy']",bar|candy,0,bar,bar,3,favorite,favorite,Place,happy
Favorite candy bar.  This is the best white chocolate on the market. ,"Reviewed in the United States on October 1, 2019",Amazon,1,"['Favorite candy bar.', 'This is the best white chocolate on the market.']",0,favorite candy bar,19,Positive,"['bar', 'candy']",bar|candy,1,candy,candy,5,,,,
Favorite candy bar.  This is the best white chocolate on the market. ,"Reviewed in the United States on October 1, 2019",Amazon,1,"['Favorite candy bar.', 'This is the best white chocolate on the market.']",1,best white chocolate market,47,Positive,"['chocolate', 'market']",chocolate|market,0,chocolate,chocolate,9,,,Customization,
Favorite candy bar.  This is the best white chocolate on the market. ,"Reviewed in the United States on October 1, 2019",Amazon,1,"['Favorite candy bar.', 'This is the best white chocolate on the market.']",1,best white chocolate market,47,Positive,"['chocolate', 'market']",chocolate|market,1,market,market,6,best,best,,delighted
"Great Chocolate. Love the chocolate from my home UK.  17 were great shape and one destroyed.  But, still the best white chocolate. ","Reviewed in the United States on November 12, 2019",Amazon,2,"['Great Chocolate.', 'Love the chocolate from my home UK.', '17 were great shape and one destroyed.', 'But, still the best white chocolate.']",0,chocolate,16,Verypositive,['chocolate'],chocolate,0,chocolate,chocolate,9,,,Customization,
"Great Chocolate. Love the chocolate from my home UK.  17 were great shape and one destroyed.  But, still the best white chocolate. ","Reviewed in the United States on November 12, 2019",Amazon,2,"['Great Chocolate.', 'Love the chocolate from my home UK.', '17 were great shape and one destroyed.', 'But, still the best white chocolate.']",1,love chocolate home uk,35,Positive,"['chocolate', 'home']",chocolate|home,0,chocolate,chocolate,9,,,Customization,
"Great Chocolate. Love the chocolate from my home UK.  17 were great shape and one destroyed.  But, still the best white chocolate. ","Reviewed in the United States on November 12, 2019",Amazon,2,"['Great Chocolate.', 'Love the chocolate from my home UK.', '17 were great shape and one destroyed.', 'But, still the best white chocolate.']",1,love chocolate home uk,35,Positive,"['chocolate', 'home']",chocolate|home,1,home,home,4,,,Place,
"Great Chocolate. Love the chocolate from my home UK.  17 were great shape and one destroyed.  But, still the best white chocolate. ","Reviewed in the United States on November 12, 2019",Amazon,2,"['Great Chocolate.', 'Love the chocolate from my home UK.', '17 were great shape and one destroyed.', 'But, still the best white chocolate.']",2,great shape one destroyed,38,Verypositive,['shape'],shape,0,shape,shape,5,great,great,,delighted
"Great Chocolate. Love the chocolate from my home UK.  17 were great shape and one destroyed.  But, still the best white chocolate. ","Reviewed in the United States on November 12, 2019",Amazon,2,"['Great Chocolate.', 'Love the chocolate from my home UK.', '17 were great shape and one destroyed.', 'But, still the best white chocolate.']",3,still best white chocolate,36,Positive,['chocolate'],chocolate,0,chocolate,chocolate,9,best,best,Customization,delighted
Five Stars.  very tasty and the shipped on time,"Reviewed in the United States on December 7, 2017",Amazon,3,"['Five Stars.', 'very tasty and the shipped on time']",0,five stars,11,Negative,['stars'],stars,0,stars,star,4,,,,
Five Stars.  very tasty and the shipped on time,"Reviewed in the United States on December 7, 2017",Amazon,3,"['Five Stars.', 'very tasty and the shipped on time']",1,tasty shipped time,34,Positive,['tasty'],tasty,0,tasty,tasty,5,time,time,,
