review,date,source,review_id,sentences,sentence_id,sentence,sent_len,sentiment_new,themes,themes_bow,variable,themes_relation_extraction,themes_keyword,theme_len,relation_word,emotion_keyword,theme_groups,emotion_groups
Was enjoyed by all.  This was a gift for my parents.  To give them a break. ,"Reviewed in the United States on December 13, 2019",Amazon,1,"['Was enjoyed by all.', 'This was a gift for my parents.', 'To give them a break.']",1,gift parents,31,Positive,"['gift', 'parents']",gift|parents,0,gift,gift,4,,,Setting,
Was enjoyed by all.  This was a gift for my parents.  To give them a break. ,"Reviewed in the United States on December 13, 2019",Amazon,1,"['Was enjoyed by all.', 'This was a gift for my parents.', 'To give them a break.']",1,gift parents,31,Positive,"['gift', 'parents']",gift|parents,1,parents,parent,6,,,Occasion,
Was enjoyed by all.  This was a gift for my parents.  To give them a break. ,"Reviewed in the United States on December 13, 2019",Amazon,1,"['Was enjoyed by all.', 'This was a gift for my parents.', 'To give them a break.']",2,give break,21,Neutral,['break'],break,0,break,break,5,give,give,,neutral
Nothing special you could not find locally or elsewhere,"Reviewed in the United States on January 8, 2020",Amazon,2,['Nothing special you could not find locally or elsewhere'],0,nothing special could find locally elsewhere,55,Positive,['special'],special,0,special,special,7,nothing,nothing,,neutral
Very Good.  This ham were very fresh and extremely good. ,"Reviewed in the United States on March 9, 2020",Amazon,3,"['Very Good.', 'This ham were very fresh and extremely good.']",1,ham fresh extremely good,44,Positive,['ham'],ham,0,ham,ham,3,,,,
Great Quality.  The ham and turkey got from all my guests.  The turkey was moist and delicious.  The ham was great.  I would buy again.  Very well packaged with dry ice even though it was pre-cooked. ,"Reviewed in the United States on January 7, 2013",Amazon,4,"['Great Quality.', 'The ham and turkey got from all my guests.', 'The turkey was moist and delicious.', 'The ham was great.', 'I would buy again.', 'Very well packaged with dry ice even though it was pre-cooked.']",0,quality,14,Verypositive,['quality'],quality,0,quality,quality,7,,,Quality,
Great Quality.  The ham and turkey got from all my guests.  The turkey was moist and delicious.  The ham was great.  I would buy again.  Very well packaged with dry ice even though it was pre-cooked. ,"Reviewed in the United States on January 7, 2013",Amazon,4,"['Great Quality.', 'The ham and turkey got from all my guests.', 'The turkey was moist and delicious.', 'The ham was great.', 'I would buy again.', 'Very well packaged with dry ice even though it was pre-cooked.']",1,ham got guests,42,Negative,['guests'],guests,0,guests,guest,5,got,got,,happy
Great Quality.  The ham and turkey got from all my guests.  The turkey was moist and delicious.  The ham was great.  I would buy again.  Very well packaged with dry ice even though it was pre-cooked. ,"Reviewed in the United States on January 7, 2013",Amazon,4,"['Great Quality.', 'The ham and turkey got from all my guests.', 'The turkey was moist and delicious.', 'The ham was great.', 'I would buy again.', 'Very well packaged with dry ice even though it was pre-cooked.']",2,moist delicious,35,Verypositive,"['delicious', 'moist']",delicious|moist,0,delicious,delicious,9,moist,moist,,
Great Quality.  The ham and turkey got from all my guests.  The turkey was moist and delicious.  The ham was great.  I would buy again.  Very well packaged with dry ice even though it was pre-cooked. ,"Reviewed in the United States on January 7, 2013",Amazon,4,"['Great Quality.', 'The ham and turkey got from all my guests.', 'The turkey was moist and delicious.', 'The ham was great.', 'I would buy again.', 'Very well packaged with dry ice even though it was pre-cooked.']",2,moist delicious,35,Verypositive,"['delicious', 'moist']",delicious|moist,1,moist,moist,5,delicious,delicious,,delighted
Great Quality.  The ham and turkey got from all my guests.  The turkey was moist and delicious.  The ham was great.  I would buy again.  Very well packaged with dry ice even though it was pre-cooked. ,"Reviewed in the United States on January 7, 2013",Amazon,4,"['Great Quality.', 'The ham and turkey got from all my guests.', 'The turkey was moist and delicious.', 'The ham was great.', 'I would buy again.', 'Very well packaged with dry ice even though it was pre-cooked.']",3,ham great,18,Verypositive,['ham'],ham,0,ham,ham,3,great,great,,delighted
Great Quality.  The ham and turkey got from all my guests.  The turkey was moist and delicious.  The ham was great.  I would buy again.  Very well packaged with dry ice even though it was pre-cooked. ,"Reviewed in the United States on January 7, 2013",Amazon,4,"['Great Quality.', 'The ham and turkey got from all my guests.', 'The turkey was moist and delicious.', 'The ham was great.', 'I would buy again.', 'Very well packaged with dry ice even though it was pre-cooked.']",5,well packaged dry ice even though precooked,62,Positive,['ice'],ice,0,ice,ice,3,packaged,packaged,Customization,neutral
Five Stars.  This Christmas present was a great success,"Reviewed in the United States on February 3, 2015",Amazon,5,"['Five Stars.', 'This Christmas present was a great success']",0,five stars,11,Negative,['stars'],stars,0,stars,star,4,,,,
Five Stars.  This Christmas present was a great success,"Reviewed in the United States on February 3, 2015",Amazon,5,"['Five Stars.', 'This Christmas present was a great success']",1,christmas present great success,42,Positive,['success'],success,0,success,success,7,present,present,,happy
Five Stars.  Wonderful,"Reviewed in the United States on December 1, 2014",Amazon,6,"['Five Stars.', 'Wonderful']",0,five stars,11,Negative,['stars'],stars,0,stars,star,4,,,,
Five Stars.  Wonderful,"Reviewed in the United States on December 1, 2014",Amazon,6,"['Five Stars.', 'Wonderful']",1,wonderful,9,Verypositive,['wonderful'],wonderful,0,wonderful,wonderful,9,,,,
"Waste of money.  The box arrived unsealed with a single piece of bubble wrap inside and the meat was warm.  So, the forest animals got a holiday snack The portion sizes in the picture also look much larger than in real life.  Save your money.  This one is a no go. ","Reviewed in the United States on December 11, 2017",Amazon,7,"['Waste of money.', 'The box arrived unsealed with a single piece of bubble wrap inside and the meat was warm.', 'So, the forest animals got a holiday snack The portion sizes in the picture also look much larger than in real life.', 'Save your money.', 'This one is a no go.']",0,waste money,15,Negative,['money'],money,0,money,money,5,waste,waste,Cost,disappointed
"Waste of money.  The box arrived unsealed with a single piece of bubble wrap inside and the meat was warm.  So, the forest animals got a holiday snack The portion sizes in the picture also look much larger than in real life.  Save your money.  This one is a no go. ","Reviewed in the United States on December 11, 2017",Amazon,7,"['Waste of money.', 'The box arrived unsealed with a single piece of bubble wrap inside and the meat was warm.', 'So, the forest animals got a holiday snack The portion sizes in the picture also look much larger than in real life.', 'Save your money.', 'This one is a no go.']",1,box arrived unsealed single piece bubble wrap inside meat warm,89,Positive,"['box', 'bubble', 'meat', 'piece', 'wrap']",box|bubble|meat|piece|wrap,0,box,box,3,arrived,arrived,Packaging/Delivery,happy
"Waste of money.  The box arrived unsealed with a single piece of bubble wrap inside and the meat was warm.  So, the forest animals got a holiday snack The portion sizes in the picture also look much larger than in real life.  Save your money.  This one is a no go. ","Reviewed in the United States on December 11, 2017",Amazon,7,"['Waste of money.', 'The box arrived unsealed with a single piece of bubble wrap inside and the meat was warm.', 'So, the forest animals got a holiday snack The portion sizes in the picture also look much larger than in real life.', 'Save your money.', 'This one is a no go.']",1,box arrived unsealed single piece bubble wrap inside meat warm,89,Positive,"['box', 'bubble', 'meat', 'piece', 'wrap']",box|bubble|meat|piece|wrap,1,bubble,bubble,6,,,,
"Waste of money.  The box arrived unsealed with a single piece of bubble wrap inside and the meat was warm.  So, the forest animals got a holiday snack The portion sizes in the picture also look much larger than in real life.  Save your money.  This one is a no go. ","Reviewed in the United States on December 11, 2017",Amazon,7,"['Waste of money.', 'The box arrived unsealed with a single piece of bubble wrap inside and the meat was warm.', 'So, the forest animals got a holiday snack The portion sizes in the picture also look much larger than in real life.', 'Save your money.', 'This one is a no go.']",1,box arrived unsealed single piece bubble wrap inside meat warm,89,Positive,"['box', 'bubble', 'meat', 'piece', 'wrap']",box|bubble|meat|piece|wrap,2,meat,meat,4,arrived,arrived,,happy
"Waste of money.  The box arrived unsealed with a single piece of bubble wrap inside and the meat was warm.  So, the forest animals got a holiday snack The portion sizes in the picture also look much larger than in real life.  Save your money.  This one is a no go. ","Reviewed in the United States on December 11, 2017",Amazon,7,"['Waste of money.', 'The box arrived unsealed with a single piece of bubble wrap inside and the meat was warm.', 'So, the forest animals got a holiday snack The portion sizes in the picture also look much larger than in real life.', 'Save your money.', 'This one is a no go.']",1,box arrived unsealed single piece bubble wrap inside meat warm,89,Positive,"['box', 'bubble', 'meat', 'piece', 'wrap']",box|bubble|meat|piece|wrap,3,piece,piece,5,single,single,,
"Waste of money.  The box arrived unsealed with a single piece of bubble wrap inside and the meat was warm.  So, the forest animals got a holiday snack The portion sizes in the picture also look much larger than in real life.  Save your money.  This one is a no go. ","Reviewed in the United States on December 11, 2017",Amazon,7,"['Waste of money.', 'The box arrived unsealed with a single piece of bubble wrap inside and the meat was warm.', 'So, the forest animals got a holiday snack The portion sizes in the picture also look much larger than in real life.', 'Save your money.', 'This one is a no go.']",1,box arrived unsealed single piece bubble wrap inside meat warm,89,Positive,"['box', 'bubble', 'meat', 'piece', 'wrap']",box|bubble|meat|piece|wrap,4,wrap,wrap,4,arrived,arrived,,happy
